altid,used,cos_aspect,sin_aspect,elevation,slope,veg_class,dist_to_water
P062,0,1.05256,1.99862,2074,6,asage,319.2308887
P062,0,1.40614,1.91381,1940,20,asage,671.7420747
P062,0,1.6258,1.77998,1938,5,asage,593.8690102
P062,0,1.93951,0.657471,1957,9,asage,350.7704675
P062,0,1.02334,0.000272393,2047,4,asage,745.229566
P062,0,1.70766,0.293446,2015,17,asage,2038.019339
P062,0,0.582707,0.0912281,1919,7,asage,465.3305448
P062,0,0.0459225,0.70044,1927,7,asage,448.7121772
P062,0,1.97643,0.784184,2080,7,asage,1991.888419
P062,0,0.973519,0.000350654,1965,5,asage,911.0141758
P062,0,1.94473,0.672137,2081,9,asage,1156.932914
P062,0,1,0,2066,18,asage,925.5750754
P062,0,0.505909,1.86941,2046,18,asage,688.5946943
P062,0,0.644005,1.93449,2094,7,asage,796.652187
P062,0,0.996839,5.01E-06,2045,6,asage,548.5162119
P062,0,1.11613,1.99323,1940,2,asage,187.2598204
P062,0,1.91702,0.601159,2053,3,asage,1183.218799
P062,0,1.94009,1.34091,2186,12,asage,488.7474748
P062,0,0.0417494,0.71407,1919,3,asage,1269.59219
P062,0,0.419475,1.81424,1865,3,asage,386.6150661
P062,0,1.69466,1.71934,1978,1,asage,1142.311728
P062,0,0.552786,0.105573,2046,14,asage,62.60978653
P062,0,0.41411,0.18961,1974,9,asage,30.0023723
P062,0,1.32984,1.94404,1953,8,asage,102.2045291
P062,0,0.811153,1.98201,1949,19,asage,282.9810138
P062,0,0.521147,1.8779,1918,35,asage,298.8534709
P011,0,0.826215,1.98478,1865,10,asage,214.0554985
P011,0,1.5145,1.85749,2080,25,asage,609.2890633
P011,0,1.63558,0.227966,1915,3,asage,377.6194313
P011,0,0.702751,1.9548,1888,7,asage,1891.004529
P011,0,1.99469,1.1029,1898,7,asage,823.5957304
P011,0,1.69466,1.71934,1940,0,asage,1134.5334
P011,0,1.88722,1.46135,1893,4,asage,2266.322319
P011,0,2,1,1939,1,asage,376.821413
P011,0,0.404153,0.196902,1916,8,asage,795.5539152
P011,0,0.108722,1.45346,2032,4,asage,439.4418784
P011,0,1.84864,1.52897,1984,14,asage,247.4633384
P011,0,0.278318,1.69223,2014,4,asage,644.3062652
P011,0,0.339372,0.249286,1871,11,asage,600.0718511
P011,0,0.770961,0.0265828,1947,4,asage,233.7276722
P011,0,0.552786,1.89443,1892,1,asage,31.86067043
P011,0,1.70607,1.70814,1961,2,asage,441.5078013
P011,0,0.780962,0.0242838,2411,20,asage,659.7897575
P011,0,0.917357,1.99658,1946,3,asage,1411.147309
P011,0,1.69466,1.71934,1988,2,asage,393.1738699
P011,0,1.99083,1.13511,2098,17,asage,732.1452502
P011,0,1.69466,1.71934,1930,1,asage,728.3313996
P011,0,1.69466,1.71934,1883,19,asage,80.18089258
P011,0,0.302969,0.282959,1873,5,asage,878.0405156
P011,0,1.80351,1.59529,1881,3,asage,702.9633237
P011,0,1.85479,0.481022,1933,5,asage,80.22047908
P011,0,1.89443,0.552786,1975,2,asage,711.2553838
P011,0,1.99688,0.921039,1965,6,asage,653.104606
P011,0,1.35112,1.93633,1946,8,asage,1676.872307
P011,0,0,1,1966,1,asage,1568.324959
P011,0,1.87142,0.509465,2126,5,asage,1121.103286
P011,0,1.81327,1.58188,1833,3,asage,434.3807428
P011,0,1.69466,1.71934,1940,1,asage,1101.498476
P011,0,0.357155,0.234004,1912,14,asage,992.9041139
P011,0,0.327025,0.260334,1956,5,asage,683.5060826
P011,0,1.81144,1.58443,2004,11,asage,0.368361289
P011,0,0.235089,0.355864,1839,9,asage,251.5847643
P011,0,0.104006,0.555933,1990,1,asage,942.7201776
P011,0,1.22415,1.97456,2003,2,asage,469.2782943
P011,0,1.69466,1.71934,1820,0,asage,1046.497099
P011,0,1.18711,0.0176614,2007,26,asage,58.38105413
P011,0,1.81761,0.424221,1928,2,asage,1313.962115
P011,0,1.69466,1.71934,1990,1,asage,594.8214175
P011,0,1.69466,1.71934,1906,2,asage,1848.710769
P011,0,0.55004,1.89305,1950,8,asage,336.1798295
P011,0,0.074453,1.37863,2095,14,asage,1428.243042
P013,0,1.3583,1.93361,2100,9,asage,460.5014087
P013,0,0.563096,1.89951,2010,9,asage,1520.051984
P013,0,0.283529,0.302383,1940,5,asage,647.8771203
P013,0,1.02458,0.000302196,2038,10,asage,960.5911922
P013,0,0.00227493,1.06741,2059,6,asage,311.0526718
P013,0,1.95611,1.293,1986,12,asage,114.0842654
P013,0,1.24988,0.0317227,1994,8,asage,990.3130115
P013,0,0.0136061,0.835601,1943,5,asage,586.3711263
P013,0,0.532448,1.88397,1922,1,asage,843.3321721
P013,0,1.99566,0.906948,1991,21,asage,509.8360209
P013,0,0.277358,1.69122,1952,11,asage,982.3776243
P013,0,1.62639,1.77951,1874,3,asage,308.1225087
P013,0,1.69466,1.71934,1952,2,asage,256.9962251
P013,0,1.87527,1.48363,1959,3,asage,519.4866
P013,0,1.74954,1.66196,1947,3,asage,1170.421552
P013,0,1.98645,1.16406,1805,4,asage,346.1126013
P013,0,0.000069201,1.01176,1981,7,asage,301.5785259
P013,0,1.99412,0.891729,1944,12,asage,665.3403481
P013,0,1.72055,0.306599,1871,6,asage,1043.944644
P013,0,0.130836,0.505476,1874,3,asage,669.843642
P013,0,0.185722,0.419525,1999,6,asage,359.0278138
P013,0,1.69466,1.71934,1962,2,asage,761.7081977
P013,0,0.292893,1.70711,1914,2,asage,767.5315349
P013,0,1.73015,0.316716,1964,3,asage,694.900919
P013,0,0.345848,1.75636,1926,13,asage,228.5168821
P013,0,1.31433,0.0506857,2394,12,asage,442.0951225
P013,0,1.901,0.566184,2064,11,asage,248.3569125
P013,0,1.23116,0.0270836,1917,2,asage,125.5041603
P013,0,0.959629,1.99918,1935,18,asage,1184.297778
P013,0,1.86378,0.496129,1901,12,asage,153.435763
P013,0,1.99565,1.09316,2130,21,asage,1421.975177
P013,0,1.0596,1.99822,1912,6,asage,141.5737465
P013,0,1.42948,0.0969251,2502,1,asage,345.7994758
P013,0,1.44721,1.89443,1897,5,asage,873.3128216
P013,0,0.358861,0.232575,1943,4,asage,295.7722316
P013,0,0.17692,0.432075,2033,8,asage,675.6993809
P013,0,1.07909,1.99687,2070,1,asage,543.9241173
P013,0,1.02272,0.000258148,1922,3,asage,757.8602044
P013,0,0.875965,1.99228,2001,21,asage,513.1336099
P013,0,1.69466,1.71934,1965,2,asage,857.9220643
P013,0,0.43079,0.177808,2041,25,asage,1133.581602
P013,0,1.99145,1.13045,1948,8,asage,589.2593153
P013,0,1.47733,0.121277,1836,11,asage,961.1192508
P024,0,1.54325,0.16043,2085,14,asage,653.8797197
P024,0,1.43903,1.89847,1931,4,asage,762.2811482
P024,0,0.217543,1.6227,2066,4,asage,540.8437814
P024,0,1.93463,1.35562,1989,6,asage,1636.57976
P024,0,1.11684,0.00684941,2076,12,asage,1199.337488
P024,0,0.000130057,1.01613,1845,16,asage,397.7253949
P024,0,1.75669,0.346223,1989,3,asage,783.4248632
P024,0,0.017868,1.18819,1954,5,asage,244.8642502
P024,0,0.543322,0.110368,2003,5,asage,555.8053086
P024,0,1.99975,1.02222,2043,4,asage,793.5366365
P024,0,0.562361,0.100849,2044,9,asage,1183.711618
P024,0,1.45342,0.108704,2227,5,asage,269.4675368
P024,0,1.94868,1.31623,1867,5,asage,138.6180362
P024,0,0.780488,0.0243903,1905,12,asage,202.4161442
P024,0,1.58377,0.188084,2158,17,asage,478.3701433
P024,0,1.19612,1.98058,1939,20,asage,448.148626
P024,0,0.179214,0.428764,1928,3,asage,345.0508067
P024,0,0.460334,0.158121,1934,9,asage,146.7085669
P024,0,0.750959,1.96849,1956,6,asage,582.2017909
P024,0,1.95448,1.29827,2075,7,asage,321.4495256
P024,0,1.69466,1.71934,1855,0,asage,681.2332571
P024,0,1.98058,0.803884,1915,12,asage,742.292578
P024,0,1.69466,1.71934,1936,1,asage,343.4411887
P024,0,0.978266,0.000236213,1904,11,asage,305.7511519
P024,0,0.212944,1.61688,1966,6,asage,358.7197897
P024,0,0,1,2013,10,asage,191.0994131
P024,0,1.50387,1.86378,2342,25,asage,1138.120524
P024,0,1.29277,1.95618,1931,4,asage,394.1136865
P024,0,1.69466,1.71934,1951,0,asage,125.649987
P024,0,1.69466,1.71934,1809,1,asage,794.8490162
P024,0,1.76269,0.353238,1934,8,asage,1735.424653
P024,0,1.63474,0.227274,2038,14,asage,260.8912101
P024,0,1.99793,0.935618,2075,11,asage,2002.94544
P024,0,0.668137,0.0566724,2083,11,asage,1358.919312
