altid,used,cos_aspect,sin_aspect,elevation,slope,veg_class,dist_to_water
OR52,0,0.844037,0.012237,2188,14,asage,4491.576261
OR52,0,0.22807,1.63571,2000,17,asage,4626.635465
OR52,0,1.71824,0.304205,2100,31,asage,204.7810346
OR52,0,0.016718,1.18209,1852,10,asage,4713.551148
OR52,0,0.609617,0.0793473,1867,8,asage,7784.820002
OR52,0,0.696797,1.95293,2005,19,asage,2225.781001
OR52,0,0.454327,0.162002,2338,17,asage,3859.280252
OR52,0,0.290899,0.294893,2514,22,asage,1617.096848
OR52,0,1.94803,0.681825,1782,6,asage,566.9992536
OR52,0,1.37519,0.0730532,1861,13,asage,1462.303828
OR52,0,1.50555,0.137201,2433,28,asage,2370.114048
OR52,0,1.5932,0.194944,1858,7,asage,2048.139218
OR52,0,1.76736,0.358782,2205,21,asage,599.4018377
OR52,0,1.70943,0.295219,2008,19,asage,3202.104514
OR52,0,1.44721,0.105573,2256,10,asage,4690.931257
OR52,0,0.00400281,1.08938,1947,20,asage,3754.02334
OR52,0,0.0343843,0.740027,2555,32,asage,2679.760094
OR52,0,0.0657816,1.3567,1802,8,asage,4511.11176
OR52,0,0.0234251,0.784822,1769,5,asage,2398.336241
OR52,0,0.959217,1.99917,2324,25,asage,1064.37172
OR52,0,1.76143,1.64825,1785,5,asage,605.1125807
OR52,0,1.93713,1.34897,1976,27,asage,2531.890628
P001,0,1.68118,0.267887,2088,30,asage,6476.122069
P001,0,0,1,2180,12,asage,3845.187834
P001,0,1.96152,0.725279,2055,20,asage,5902.637708
P001,0,0.893467,0.00569087,2167,18,asage,1752.931822
P001,0,0.25944,1.67199,1911,20,asage,4006.685346
P001,0,1.27424,1.96166,1884,5,asage,2305.403738
P001,0,0.125843,1.48564,2349,15,asage,3885.702652
P001,0,0.80892,0.0184255,2459,9,asage,3481.091627
P001,0,0.4453,0.16795,1835,17,asage,782.1552195
P001,0,1.73517,1.67788,2528,26,asage,1643.832685
P001,0,1.31131,1.95031,2050,7,asage,2396.030189
P001,0,0.100266,0.563562,1894,17,asage,10221.95052
P001,0,1.99988,0.984254,2122,9,asage,699.3574201
P001,0,0.59636,0.0850822,2188,12,asage,1421.007307
P001,0,1.64594,1.76339,2348,16,asage,1880.51303
P001,0,0.193595,1.59136,2186,22,asage,510.2318904
P001,0,0.353315,0.237243,1905,7,asage,1707.523789
P001,0,0.43079,0.177808,1780,5,asage,3312.91841
P001,0,1.6604,1.75091,1997,8,asage,1100.321038
P001,0,0.480813,0.145339,2249,21,asage,1339.885445
P001,0,0.0341571,0.740872,1893,4,asage,1198.879968
P001,0,1.38832,1.92153,1807,5,asage,3539.410039
P001,0,1.79843,0.397908,2213,14,asage,296.4364756
P001,0,1.67879,1.73433,1809,5,asage,939.1821124
P001,0,1.69466,1.71934,1739,2,asage,3188.49298
P001,0,0.0868621,0.592349,1876,7,asage,4420.442171
P001,0,0.122238,1.4791,2219,11,asage,1607.110579
P001,0,0.883159,1.99315,2249,15,asage,1094.388539
P001,0,0.877845,0.00748897,1865,8,asage,2619.528046
P001,0,1.00943,1.99996,2134,15,asage,754.0679211
P001,0,0.549683,1.89287,1968,15,asage,4528.709761
P001,0,0.0715233,1.37139,2228,8,asage,576.9247231
P001,0,0.158822,1.54076,2359,20,asage,1198.200269
P001,0,0.11852,0.527779,2123,16,asage,654.3425223
P001,0,1.80223,1.59701,1761,9,asage,5190.93439
P001,0,0.000337183,0.974035,2312,13,asage,2086.718971
P001,0,1.45037,1.89284,1909,14,asage,1176.272003
P001,0,1.69466,1.71934,1733,2,asage,891.7603231
P001,0,1.69466,1.71934,1758,2,asage,2451.464113
P001,0,0.679772,0.0526594,1788,7,asage,3910.553279
P001,0,0.0364821,1.26764,1960,29,asage,7493.903825
P001,0,0.0666544,1.35898,1787,5,asage,2849.726511
P001,0,0.0695916,0.633476,1895,10,asage,4217.094883
P001,0,1.43725,0.100659,2346,18,asage,2242.385491
P001,0,0.892518,1.99421,1788,7,asage,3676.234056
P001,0,0.178089,0.430384,1956,8,asage,3885.928076
